"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","29-Sep-2015","       1105.55","       1102.00","       1133.40","       1097.50","       1117.00","       1121.85","       1119.84","    4349685","      48709.67","     101045","    2368692","         54.46"
"INFY","EQ","30-Sep-2015","       1121.85","       1134.40","       1168.95","       1125.95","       1157.00","       1161.95","       1151.23","    4747846","      54658.43","     111323","    3106382","         65.43"
"INFY","EQ","01-Oct-2015","       1161.95","       1169.90","       1197.75","       1160.00","       1173.05","       1173.05","       1179.45","    5432197","      64069.92","     141361","    3243441","         59.71"
"INFY","EQ","05-Oct-2015","       1173.05","       1173.00","       1189.35","       1162.00","       1181.10","       1181.75","       1176.75","    3440880","      40490.50","     124032","    2048583","         59.54"
"INFY","EQ","06-Oct-2015","       1181.75","       1187.05","       1192.55","       1148.10","       1157.00","       1154.60","       1160.82","    4355940","      50564.64","     159201","    2862268","         65.71"
"INFY","EQ","07-Oct-2015","       1154.60","       1156.00","       1168.75","       1128.45","       1139.00","       1133.20","       1147.22","    4591244","      52671.46","     140151","    3368903","         73.38"
"INFY","EQ","08-Oct-2015","       1133.20","       1136.40","       1149.60","       1126.05","       1132.70","       1132.15","       1136.18","    4540437","      51587.46","     166680","    3316675","         73.05"
"INFY","EQ","09-Oct-2015","       1132.15","       1136.00","       1172.90","       1136.00","       1170.90","       1167.40","       1154.34","    5891069","      68003.10","     172120","    3660285","         62.13"
"INFY","EQ","12-Oct-2015","       1167.40","       1199.00","       1219.80","       1109.00","       1122.90","       1122.90","       1145.31","   15202485","     174114.99","     347437","    5258181","         34.59"
"INFY","EQ","13-Oct-2015","       1122.90","       1107.45","       1111.00","       1085.20","       1098.10","       1099.40","       1097.14","    7663431","      84078.60","     286593","    4019557","         52.45"
"INFY","EQ","14-Oct-2015","       1099.40","       1091.45","       1115.55","       1087.20","       1096.00","       1097.60","       1104.20","    4432755","      48946.29","     158291","    2478570","         55.91"
"INFY","EQ","15-Oct-2015","       1097.60","       1099.90","       1104.35","       1089.10","       1096.90","       1097.35","       1096.26","    4127833","      45251.83","     184169","    2599954","         62.99"
"INFY","EQ","16-Oct-2015","       1097.35","       1099.00","       1101.40","       1090.00","       1093.00","       1094.90","       1094.85","    3209496","      35139.19","      74364","    1874068","         58.39"
"INFY","EQ","19-Oct-2015","       1094.90","       1102.00","       1116.00","       1100.50","       1114.70","       1111.95","       1109.22","    3673747","      40749.86","     128555","    2537719","         69.08"
"INFY","EQ","20-Oct-2015","       1111.95","       1113.00","       1130.00","       1110.60","       1126.30","       1125.95","       1121.86","    4394155","      49296.30","     101555","    3233998","         73.60"
"INFY","EQ","21-Oct-2015","       1125.95","       1125.00","       1146.85","       1125.00","       1137.50","       1138.40","       1137.86","    3639049","      41407.25","      89639","    2309832","         63.47"
"INFY","EQ","23-Oct-2015","       1138.40","       1141.80","       1153.00","       1125.10","       1149.00","       1149.90","       1141.35","    3016681","      34430.81","     117698","    1806303","         59.88"
"INFY","EQ","26-Oct-2015","       1149.90","       1154.00","       1158.50","       1143.15","       1150.00","       1152.15","       1150.88","    1597971","      18390.79","      82222","     801160","         50.14"
"INFY","EQ","27-Oct-2015","       1152.15","       1150.00","       1155.00","       1144.10","       1147.35","       1149.40","       1149.74","    2631874","      30259.72","      79833","    1878077","         71.36"
"INFY","EQ","28-Oct-2015","       1149.40","       1144.50","       1158.00","       1139.00","       1155.10","       1153.20","       1147.14","    2627736","      30143.78","      95707","    1841598","         70.08"
"INFY","EQ","29-Oct-2015","       1153.20","       1153.10","       1155.90","       1136.05","       1142.25","       1145.05","       1143.62","    2943662","      33664.20","      74479","    2045021","         69.47"
"INFY","EQ","30-Oct-2015","       1145.05","       1145.00","       1145.00","       1130.00","       1132.00","       1135.45","       1135.02","    2022338","      22953.90","      57656","    1151943","         56.96"
"INFY","EQ","02-Nov-2015","       1135.45","       1130.00","       1135.80","       1114.10","       1133.75","       1131.20","       1123.76","    1772494","      19918.55","      44108","     806329","         45.49"
"INFY","EQ","03-Nov-2015","       1131.20","       1133.40","       1150.45","       1133.40","       1140.15","       1145.50","       1144.00","    1807341","      20675.99","      47225","     962391","         53.25"
"INFY","EQ","04-Nov-2015","       1145.50","       1150.10","       1157.60","       1132.30","       1137.05","       1136.80","       1142.83","    1602786","      18317.17","      60740","     917154","         57.22"
"INFY","EQ","05-Nov-2015","       1136.80","       1142.95","       1145.00","       1119.40","       1120.40","       1122.90","       1133.30","    1172653","      13289.64","      33057","     545046","         46.48"
"INFY","EQ","06-Nov-2015","       1122.90","       1123.00","       1143.90","       1122.90","       1140.20","       1138.30","       1137.85","    1513086","      17216.66","      43442","     893260","         59.04"
"INFY","EQ","09-Nov-2015","       1138.30","       1120.00","       1140.00","       1115.20","       1138.15","       1134.60","       1127.68","    3062838","      34538.97","      73732","    2080780","         67.94"
"INFY","EQ","10-Nov-2015","       1134.60","       1127.50","       1127.50","       1100.10","       1106.00","       1103.85","       1114.22","    2340026","      26073.06","      56153","    1618684","         69.17"
"INFY","EQ","11-Nov-2015","       1103.85","       1118.00","       1118.00","       1103.00","       1109.30","       1107.60","       1109.42","     353652","       3923.48","      13196","     166222","         47.00"
"INFY","EQ","13-Nov-2015","       1107.60","       1099.95","       1106.00","       1090.00","       1097.00","       1100.80","       1097.45","    1760434","      19319.92","      86653","    1134912","         64.47"
"INFY","EQ","16-Nov-2015","       1100.80","       1083.65","       1094.00","       1067.20","       1088.00","       1080.20","       1081.23","    3404167","      36806.73","      84079","    2089950","         61.39"
"INFY","EQ","17-Nov-2015","       1080.20","       1080.00","       1082.90","       1052.00","       1058.60","       1061.50","       1061.53","    3592053","      38130.82","     130125","    2136025","         59.47"
"INFY","EQ","18-Nov-2015","       1061.50","       1041.00","       1045.15","       1011.25","       1020.45","       1020.00","       1027.76","    5062626","      52031.87","     163352","    2860889","         56.51"
"INFY","EQ","19-Nov-2015","       1020.00","       1030.25","       1052.00","       1023.80","       1048.00","       1047.80","       1038.56","    4269811","      44344.39","     169433","    2638720","         61.80"
"INFY","EQ","20-Nov-2015","       1047.80","       1048.00","       1063.20","       1042.05","       1051.00","       1052.40","       1053.83","    3041489","      32052.20","     151348","    1851747","         60.88"
"INFY","EQ","23-Nov-2015","       1052.40","       1050.00","       1062.40","       1038.00","       1052.00","       1053.70","       1053.76","    2808175","      29591.56","      90521","    1799534","         64.08"
"INFY","EQ","24-Nov-2015","       1053.70","       1050.00","       1050.80","       1037.00","       1040.70","       1041.15","       1043.40","    2162901","      22567.79","      58310","    1249010","         57.75"
"INFY","EQ","26-Nov-2015","       1041.15","       1040.95","       1059.50","       1040.05","       1050.00","       1052.40","       1051.79","    4926984","      51821.37","     114757","    3656974","         74.22"
"INFY","EQ","27-Nov-2015","       1052.40","       1058.00","       1070.00","       1045.00","       1066.00","       1066.35","       1060.99","    2571239","      27280.63","      69214","    1799884","         70.00"
"INFY","EQ","30-Nov-2015","       1066.35","       1070.00","       1098.30","       1056.20","       1083.05","       1087.90","       1083.44","    9052767","      98081.55","     108763","    5565189","         61.48"
"INFY","EQ","01-Dec-2015","       1087.90","       1088.00","       1095.00","       1072.95","       1075.45","       1079.00","       1082.42","    2949275","      31923.57","      76585","    1982960","         67.24"
"INFY","EQ","02-Dec-2015","       1079.00","       1079.95","       1079.95","       1059.00","       1061.10","       1060.70","       1064.12","    3198808","      34039.29","      90123","    2139233","         66.88"
"INFY","EQ","03-Dec-2015","       1060.70","       1061.00","       1064.80","       1049.05","       1059.00","       1057.75","       1056.77","    2752363","      29086.24","     110543","    1838358","         66.79"
"INFY","EQ","04-Dec-2015","       1057.75","       1049.00","       1064.90","       1040.10","       1048.85","       1049.05","       1047.32","    4187765","      43859.28","     209805","    3031773","         72.40"
"INFY","EQ","07-Dec-2015","       1049.05","       1055.30","       1059.00","       1040.00","       1046.00","       1046.25","       1048.08","    2256935","      23654.48","      65005","    1441112","         63.85"
"INFY","EQ","08-Dec-2015","       1046.25","       1045.05","       1062.75","       1039.30","       1042.00","       1044.40","       1051.88","    2862186","      30106.84","      87394","    1790175","         62.55"
"INFY","EQ","09-Dec-2015","       1044.40","       1043.00","       1046.95","       1022.55","       1024.00","       1028.20","       1036.19","    3409127","      35324.87","      85433","    2068578","         60.68"
"INFY","EQ","10-Dec-2015","       1028.20","       1036.60","       1051.60","       1030.30","       1049.90","       1047.35","       1040.47","    2793873","      29069.45","      80028","    1838589","         65.81"
"INFY","EQ","11-Dec-2015","       1047.35","       1054.00","       1061.90","       1045.90","       1055.65","       1052.80","       1052.88","    2695099","      28376.07","      84930","    1623053","         60.22"
"INFY","EQ","14-Dec-2015","       1052.80","       1049.50","       1073.15","       1048.05","       1067.50","       1069.50","       1066.30","    2408336","      25680.18","     104978","    1419333","         58.93"
"INFY","EQ","15-Dec-2015","       1069.50","       1073.25","       1079.10","       1058.80","       1078.50","       1077.55","       1071.44","    2715904","      29099.26","      76821","    1951187","         71.84"
"INFY","EQ","16-Dec-2015","       1077.55","       1083.40","       1098.00","       1083.40","       1094.00","       1095.85","       1092.86","    2747926","      30030.94","      66894","    1988090","         72.35"
"INFY","EQ","17-Dec-2015","       1095.85","       1100.00","       1109.80","       1088.00","       1105.50","       1107.10","       1099.83","    2479391","      27269.07","      87599","    1294917","         52.23"
"INFY","EQ","18-Dec-2015","       1107.10","       1103.40","       1103.40","       1079.45","       1085.95","       1083.15","       1086.91","    3609910","      39236.51","      65866","    2604590","         72.15"
"INFY","EQ","21-Dec-2015","       1083.15","       1077.00","       1107.40","       1065.95","       1107.00","       1103.45","       1095.68","    2165506","      23727.07","      61692","    1223571","         56.50"
"INFY","EQ","22-Dec-2015","       1103.45","       1097.45","       1097.45","       1080.10","       1085.00","       1083.75","       1085.81","    2054627","      22309.39","      51963","    1204818","         58.64"
"INFY","EQ","23-Dec-2015","       1083.75","       1095.05","       1102.50","       1087.05","       1100.00","       1100.85","       1097.35","    1435464","      15752.00","      38571","     861318","         60.00"
"INFY","EQ","24-Dec-2015","       1100.85","       1102.05","       1104.45","       1090.10","       1095.80","       1096.35","       1095.84","     615027","       6739.70","      20528","     294731","         47.92"
"INFY","EQ","28-Dec-2015","       1096.35","       1090.00","       1110.00","       1090.00","       1103.80","       1104.75","       1105.51","    2763476","      30550.46","      51103","    1880078","         68.03"
"INFY","EQ","29-Dec-2015","       1104.75","       1101.25","       1110.00","       1097.30","       1103.00","       1104.70","       1104.14","    1672531","      18467.06","      52409","     967577","         57.85"
"INFY","EQ","30-Dec-2015","       1104.70","       1101.10","       1106.60","       1083.00","       1088.00","       1086.30","       1094.45","    2576985","      28203.80","      65379","    1754378","         68.08"
"INFY","EQ","31-Dec-2015","       1086.30","       1090.15","       1109.95","       1087.00","       1107.00","       1105.40","       1102.09","    3971969","      43774.67","      75143","    2641827","         66.51"
"INFY","EQ","01-Jan-2016","       1105.40","       1100.00","       1108.95","       1093.20","       1103.00","       1105.25","       1103.13","     903275","       9964.33","      18982","     331554","         36.71"
"INFY","EQ","04-Jan-2016","       1105.25","       1099.95","       1102.45","       1076.05","       1078.50","       1078.90","       1087.82","    1987681","      21622.31","      53877","    1247329","         62.75"
"INFY","EQ","05-Jan-2016","       1078.90","       1085.50","       1085.50","       1062.25","       1073.00","       1074.05","       1073.17","    2474893","      26559.75","      62085","    1566206","         63.28"
"INFY","EQ","06-Jan-2016","       1074.05","       1074.65","       1074.65","       1058.90","       1068.50","       1069.35","       1067.55","    2794164","      29829.10","      76128","    1985200","         71.05"
"INFY","EQ","07-Jan-2016","       1069.35","       1060.05","       1067.90","       1047.90","       1052.55","       1050.80","       1057.50","    2647044","      27992.56","      79845","    1650344","         62.35"
"INFY","EQ","08-Jan-2016","       1050.80","       1061.50","       1067.40","       1055.50","       1064.65","       1063.30","       1061.56","    1578358","      16755.22","      47934","     847886","         53.72"
"INFY","EQ","11-Jan-2016","       1063.30","       1056.30","       1069.95","       1052.10","       1054.50","       1055.70","       1057.72","    2680311","      28350.19","      66784","    1635209","         61.01"
"INFY","EQ","12-Jan-2016","       1055.70","       1062.00","       1062.95","       1030.85","       1048.05","       1049.95","       1046.58","    3282606","      34355.00","      95213","    2327621","         70.91"
"INFY","EQ","13-Jan-2016","       1049.95","       1057.00","       1091.00","       1048.10","       1081.05","       1083.40","       1073.58","    4375647","      46976.26","      82289","    2136586","         48.83"
"INFY","EQ","14-Jan-2016","       1083.40","       1066.00","       1155.00","       1054.35","       1137.50","       1133.00","       1128.78","   15113503","     170598.27","     335583","    5601848","         37.07"
"INFY","EQ","15-Jan-2016","       1133.00","       1148.00","       1164.00","       1137.55","       1140.00","       1139.90","       1147.83","    6518307","      74819.37","     168749","    3790529","         58.15"
"INFY","EQ","18-Jan-2016","       1139.90","       1139.90","       1162.10","       1128.35","       1129.60","       1131.90","       1144.54","    5033306","      57608.33","     124462","    3285743","         65.28"
"INFY","EQ","19-Jan-2016","       1131.90","       1135.00","       1158.95","       1128.55","       1140.25","       1139.65","       1143.19","    3750218","      42872.25","     131724","    2249627","         59.99"
